Sector,CEO_Gender,Size,Security_Invest,Security_Breach_Att,Succ_Sec_Breaches,Sec_Rating,CEO_Sec_Exp,LOT_in_Business,Stock_Market
Hospitality,Male,Large,32,60,17,Medium,Low,11,No
Health Care,Male,Small,56,54,17,Medium,Low,18,Yes
Health Care,Male,Medium,24,63,16,High,Low,5,Yes
Hospitality,Male,Medium,26,42,18,Low,Low,3,No
Banking,Male,Medium,23,54,19,Medium,Low,4,Yes
Banking,Female,Large,144,37,4,High,Low,10,Yes
Banking,Male,Large,271,30,7,High,Low,7,Yes
Health Care,Male,Small,47,31,4,Medium,Medium,6,Yes
Hospitality,Female,Medium,71,15,0,High,Medium,2,Yes
Health Care,Female,Small,36,58,17,Medium,Low,17,Yes
Banking,Female,Medium,40,39,8,Medium,High,13,No
Health Care,Male,Small,43,43,8,High,Medium,2,Yes
Health Care,Female,Small,12,19,5,High,High,4,Yes
Banking,Male,Small,13,34,11,High,High,7,Yes
Banking,Male,Medium,53,59,19,Medium,Low,5,Yes
Banking,Male,Large,55,45,9,High,Medium,5,No
Banking,Male,Large,71,56,24,Low,Medium,11,Yes
Hospitality,Male,Large,125,23,9,Low,Medium,1,No
Hospitality,Male,Medium,43,30,4,High,Low,6,Yes
Banking,Male,Small,52,23,9,Medium,High,3,Yes
Hospitality,Male,Small,25,10,1,High,Low,1,Yes
Banking,Male,Small,20,23,6,Medium,High,6,No
Banking,Female,Small,18,39,11,Medium,High,2,Yes
Hospitality,Male,Medium,20,22,12,High,Medium,3,Yes
Hospitality,Female,Medium,16,22,7,High,Low,6,Yes
Health Care,Male,Medium,17,85,28,Medium,Medium,25,No
Banking,Female,Small,19,49,14,Low,Low,10,Yes
Hospitality,Female,Small,20,18,0,High,Low,3,Yes
Hospitality,Male,Small,24,24,8,Medium,High,4,Yes
Banking,Male,Small,34,32,13,Low,Medium,5,Yes
Hospitality,Male,Large,119,25,5,Medium,Medium,2,Yes
Banking,Female,Small,17,22,9,Low,High,2,Yes
Banking,Female,Large,118,18,2,High,Low,2,No
