Sector,CEO_Gender,Size,Security_Invest,Security_Breach_Att,Succ_Sec_Breaches,Sec_Rating,CEO_Sec_Exp,LOT_in_Business,Stock_Market
Hospitality,Male,Large,186,80,38,High,High,11,No
Hospitality,Female,Large,229,72,42,Medium,Medium,21,Yes
Hospitality,Male,Small,108,78,35,High,Medium,15,Yes
Hospitality,Male,Large,210,70,35,Medium,Low,14,No
Banking,Male,Small,34,19,3,Low,High,3,No
Banking,Male,Medium,11,10,1,Low,High,18,No
Health Care,Male,Large,48,55,31,High,Low,8,No
Health Care,Male,Medium,35,37,19,Low,Low,15,Yes
Banking,Male,Medium,10,16,2,High,Low,8,No
Health Care,Female,Small,31,55,26,Medium,Low,16,Yes
Hospitality,Male,Medium,186,223,136,Low,High,14,Yes
Health Care,Female,Small,38,53,11,Medium,Medium,13,Yes
Health Care,Male,Medium,107,15,7,Low,High,11,Yes
Health Care,Female,Medium,97,39,20,Low,Low,6,Yes
Banking,Male,Medium,23,15,2,Low,High,1,Yes
Hospitality,Male,Small,96,262,102,High,Low,5,Yes
Banking,Male,Small,46,15,3,Low,Medium,20,Yes
Health Care,Male,Large,71,41,24,Medium,Medium,22,Yes
Banking,Male,Medium,23,6,1,Medium,High,4,Yes
Hospitality,Female,Small,57,309,136,Medium,High,16,Yes
Banking,Female,Medium,25,7,1,High,Medium,3,No
Banking,Female,Small,47,15,2,Low,High,25,Yes
Health Care,Female,Large,69,31,15,Low,Low,2,No
Health Care,Female,Medium,20,52,18,High,Medium,24,No
Health Care,Male,Large,70,30,15,Medium,Low,3,No
Banking,Female,Small,16,13,2,Low,Low,14,Yes
Health Care,Male,Medium,146,14,6,High,High,22,Yes
Banking,Male,Large,60,13,2,Low,Medium,1,No
Hospitality,Female,Small,80,176,83,Low,Medium,14,No
Hospitality,Female,Small,43,210,99,High,Low,21,Yes
Banking,Female,Medium,11,14,3,Medium,Medium,15,No
Banking,Male,Medium,11,21,4,Medium,High,10,No
Health Care,Male,Large,47,52,23,Low,Low,8,No
Health Care,Male,Large,57,39,16,High,High,22,Yes
Banking,Male,Large,31,17,3,Medium,Medium,15,Yes
Banking,Male,Medium,14,16,3,Medium,Low,20,Yes
Health Care,Female,Small,40,27,13,High,Low,24,Yes
Hospitality,Male,Small,120,146,47,Low,Low,1,Yes
Banking,Male,Small,39,15,4,Low,High,5,No
Hospitality,Male,Small,35,115,34,Low,High,17,Yes
Health Care,Female,Small,40,40,17,Low,Medium,5,Yes
Hospitality,Male,Medium,304,189,81,Medium,Low,24,Yes
Banking,Male,Small,16,8,2,Medium,High,1,No
Hospitality,Female,Large,146,84,49,Low,Low,12,Yes
Banking,Male,Small,49,14,1,Medium,Medium,2,Yes
Hospitality,Male,Large,193,48,14,Low,Low,4,Yes
Health Care,Male,Large,83,27,11,High,High,5,Yes
Hospitality,Male,Large,178,49,27,Low,Medium,13,No
Hospitality,Female,Small,124,105,42,High,High,15,Yes
Banking,Female,Medium,13,25,5,Low,High,13,No
Health Care,Male,Large,39,27,15,Medium,High,12,No
Health Care,Male,Large,72,31,13,Low,Medium,2,Yes
Banking,Female,Large,74,13,2,Low,Low,4,Yes
Health Care,Male,Medium,119,65,29,High,High,3,Yes
Hospitality,Female,Medium,162,326,191,High,Low,25,Yes
Banking,Male,Large,47,12,2,Low,Low,15,No
Hospitality,Male,Large,226,39,12,Low,Medium,15,Yes
Hospitality,Male,Medium,158,21,13,Medium,Low,8,Yes
Hospitality,Male,Medium,330,187,73,High,Medium,17,Yes
Hospitality,Female,Medium,254,55,17,High,Low,15,No
Banking,Female,Large,14,14,1,Medium,High,17,Yes
Health Care,Male,Medium,70,38,15,Low,High,1,Yes
Banking,Female,Large,78,22,3,High,Low,21,No
Health Care,Female,Small,38,23,5,Low,Medium,1,Yes
Hospitality,Male,Medium,86,48,25,Medium,High,18,No
Hospitality,Male,Medium,236,260,114,High,High,15,Yes
Hospitality,Female,Large,182,57,27,Medium,Medium,18,Yes
Hospitality,Female,Large,131,57,24,Medium,High,10,No
Health Care,Male,Small,32,31,10,Low,Medium,6,Yes
Banking,Male,Medium,25,15,1,High,High,11,Yes
Hospitality,Male,Small,75,310,176,Low,Medium,19,Yes
Banking,Male,Small,36,12,2,Medium,Medium,2,Yes
Banking,Female,Small,40,16,3,Medium,High,16,Yes
Banking,Female,Large,61,22,3,Medium,Medium,23,No
Health Care,Female,Small,35,21,8,High,High,13,No
Hospitality,Male,Medium,206,128,55,Low,Low,7,Yes
Hospitality,Male,Small,32,241,106,Low,Low,18,Yes
Hospitality,Male,Medium,278,245,84,Medium,Medium,2,Yes
Hospitality,Male,Medium,391,298,90,Medium,High,16,Yes
Banking,Male,Small,45,15,4,High,High,8,No
Health Care,Male,Large,54,52,29,Medium,Low,24,No
Health Care,Female,Large,45,32,14,Low,Medium,22,No
Banking,Female,Large,21,22,3,Medium,Low,11,No
Banking,Male,Medium,15,22,3,Medium,Medium,13,No
Banking,Male,Small,23,8,0,Medium,High,3,Yes
Health Care,Female,Large,78,42,14,Low,Medium,12,Yes
Health Care,Female,Large,63,32,17,Medium,High,21,Yes
Banking,Male,Medium,23,8,1,Medium,High,8,Yes
Hospitality,Male,Small,42,92,41,Low,High,23,Yes
Banking,Female,Small,20,13,2,Medium,High,15,No
Hospitality,Male,Large,117,76,29,High,Low,4,Yes
Health Care,Male,Large,67,46,25,Low,High,8,Yes
Banking,Female,Large,11,18,2,Medium,High,5,No
Health Care,Male,Medium,145,19,7,High,Medium,13,Yes
Banking,Female,Small,26,19,4,Low,High,10,No
Hospitality,Female,Small,70,58,19,High,High,1,Yes
Health Care,Female,Large,88,47,27,High,High,8,Yes
Hospitality,Male,Large,136,45,18,Low,Medium,11,No
Hospitality,Male,Medium,361,26,13,High,High,22,Yes
Hospitality,Male,Medium,358,170,72,Medium,Medium,18,Yes
Banking,Male,Large,58,11,1,Low,Low,7,No
Banking,Male,Large,65,10,1,Low,Low,16,No
Banking,Male,Large,56,9,1,Medium,Medium,6,No
Banking,Male,Medium,16,11,2,High,Medium,2,Yes
Banking,Male,Small,21,20,3,High,High,8,Yes
Health Care,Male,Small,25,42,11,Medium,Medium,11,No
Health Care,Male,Small,38,45,13,Medium,High,1,Yes
Banking,Female,Small,50,20,3,High,Low,20,Yes
Health Care,Male,Medium,130,23,11,Medium,Low,2,No
Banking,Male,Large,33,8,1,Medium,High,17,No
Hospitality,Female,Large,104,41,22,Medium,Low,13,Yes
Health Care,Male,Large,55,34,16,Low,Low,25,Yes
Health Care,Male,Small,30,35,9,High,Medium,12,Yes
Hospitality,Male,Medium,415,199,95,Medium,High,1,Yes
Hospitality,Male,Small,40,296,114,Low,High,7,Yes
Health Care,Male,Medium,80,44,14,High,High,20,Yes
Hospitality,Male,Medium,215,163,75,Low,Low,25,Yes
Hospitality,Male,Medium,305,140,45,High,Medium,6,Yes
Hospitality,Male,Small,68,46,26,High,Medium,16,No
Health Care,Female,Large,57,29,14,Low,Medium,25,Yes
Health Care,Female,Small,34,46,18,High,Medium,21,Yes
Banking,Male,Small,21,16,2,High,High,18,No
Banking,Female,Medium,20,14,2,High,Low,2,No
Hospitality,Male,Medium,378,48,19,Low,Medium,25,Yes
Hospitality,Female,Medium,122,320,147,High,High,13,Yes
Health Care,Female,Large,73,38,15,Low,Medium,21,Yes
Hospitality,Male,Small,29,94,34,Medium,Medium,18,Yes
Banking,Male,Small,15,12,3,Low,Low,24,Yes
Health Care,Female,Large,71,35,16,High,Medium,24,Yes
Hospitality,Female,Small,71,289,106,High,Medium,21,Yes
Banking,Female,Small,40,16,2,Medium,Low,5,No
Banking,Male,Medium,13,21,2,Medium,Medium,17,Yes
Health Care,Male,Small,32,39,14,Medium,High,9,Yes
Banking,Female,Medium,12,6,1,Low,Low,11,Yes
Hospitality,Male,Medium,342,260,143,Medium,Low,16,Yes
Banking,Male,Large,49,20,2,Medium,High,24,No
Hospitality,Female,Large,112,25,11,Low,High,16,Yes
Health Care,Female,Large,76,28,13,High,Low,11,No
Hospitality,Female,Large,217,51,20,High,Medium,4,Yes
Health Care,Male,Small,26,46,10,Low,Low,8,Yes
Hospitality,Female,Medium,177,83,37,High,Medium,5,Yes
Health Care,Female,Large,84,28,10,Medium,Low,10,Yes
Banking,Female,Small,32,9,2,High,High,20,No
Banking,Male,Small,20,10,1,Medium,Medium,2,No
Hospitality,Female,Medium,53,280,161,Medium,High,14,Yes
Banking,Female,Large,65,19,3,Low,High,20,Yes
Banking,Male,Large,10,17,3,Low,High,17,No
Hospitality,Female,Large,106,79,28,Low,High,14,Yes
Banking,Female,Large,53,12,2,Medium,High,25,Yes
Hospitality,Male,Medium,354,237,117,High,Medium,22,Yes
Hospitality,Male,Medium,78,214,75,Medium,Medium,14,No
Health Care,Female,Medium,44,49,25,High,Low,17,Yes
Hospitality,Male,Small,73,115,41,Medium,Low,2,Yes
Health Care,Male,Small,37,40,12,High,Medium,14,Yes
Health Care,Female,Small,36,54,21,Medium,Low,6,Yes
Hospitality,Male,Small,95,293,171,Medium,High,7,Yes
Hospitality,Male,Medium,36,12,3,Medium,High,18,Yes
Banking,Female,Small,33,14,2,Low,High,21,No
Hospitality,Female,Medium,416,220,83,Low,High,3,Yes
Hospitality,Male,Small,73,236,89,Medium,Low,24,Yes
Banking,Male,Medium,13,22,5,Medium,Low,2,Yes
Health Care,Male,Large,40,31,11,Medium,Low,12,Yes
Hospitality,Female,Large,178,45,23,High,Medium,12,Yes
Hospitality,Female,Medium,436,50,19,High,Medium,24,Yes
Hospitality,Female,Small,36,57,21,High,Low,8,Yes
Hospitality,Male,Small,50,39,12,Medium,Low,10,Yes
Banking,Male,Medium,17,15,3,Medium,Low,11,No
Hospitality,Female,Medium,134,53,24,Medium,High,20,Yes
Banking,Male,Medium,13,5,0,Low,High,5,Yes
Hospitality,Female,Large,99,72,31,Medium,Medium,25,Yes
Health Care,Male,Medium,49,31,8,Medium,Medium,23,Yes
Banking,Male,Large,38,13,2,Medium,Low,23,No
Hospitality,Female,Small,101,174,95,Low,High,8,Yes
Health Care,Female,Medium,42,27,13,Low,Medium,2,No
Banking,Female,Large,50,16,2,Low,High,9,Yes
Hospitality,Female,Large,211,38,20,Low,High,19,No
Hospitality,Male,Small,90,118,47,Medium,High,15,Yes
Hospitality,Male,Medium,319,233,100,Medium,High,3,Yes
Hospitality,Female,Large,88,22,10,Medium,Medium,21,No
Banking,Male,Small,29,19,3,High,Medium,14,No
Health Care,Male,Small,31,57,11,High,Low,4,No
Banking,Male,Large,28,9,1,Low,Medium,15,No
Hospitality,Female,Small,49,175,73,Medium,Low,11,Yes
Health Care,Female,Large,65,31,12,Low,Medium,24,No
Hospitality,Male,Large,208,63,19,High,Low,23,Yes
Hospitality,Male,Medium,40,18,9,Low,Low,10,No
Hospitality,Female,Small,56,97,37,High,Medium,25,Yes
Hospitality,Female,Medium,256,78,27,Medium,Low,23,Yes
Banking,Male,Small,49,19,2,Low,Medium,13,No
Hospitality,Male,Large,114,26,13,Medium,Low,7,Yes
Banking,Male,Medium,23,23,4,High,Low,14,Yes
Hospitality,Male,Medium,87,145,62,High,Low,17,Yes
Hospitality,Male,Small,51,178,67,High,Medium,12,Yes
Banking,Male,Medium,16,16,3,Medium,High,20,Yes
